"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1965","Census Tract 701902","7","Census Tract 480802","6/1/2018 - 8/31/2018, Every day, Daily Average",2881,1994,4162
"1965","Census Tract 701902","12","Census Tract 480903","6/1/2018 - 8/31/2018, Every day, Daily Average",2611,1726,3949
"1965","Census Tract 701902","13","Census Tract 481001","6/1/2018 - 8/31/2018, Every day, Daily Average",3050,2148,4328
"1965","Census Tract 701902","15","Census Tract 481500","6/1/2018 - 8/31/2018, Every day, Daily Average",2716,1798,4102
"1965","Census Tract 701902","18","Census Tract 481605","6/1/2018 - 8/31/2018, Every day, Daily Average",2674,1774,4029
"1965","Census Tract 701902","19","Census Tract 481606","6/1/2018 - 8/31/2018, Every day, Daily Average",2992,2080,4302
"1965","Census Tract 701902","21","Census Tract 481901","6/1/2018 - 8/31/2018, Every day, Daily Average",3038,1975,4672
"1965","Census Tract 701902","22","Census Tract 481902","6/1/2018 - 8/31/2018, Every day, Daily Average",2528,1666,3835
"1965","Census Tract 701902","25","Census Tract 430701","6/1/2018 - 8/31/2018, Every day, Daily Average",3694,2593,5262
"1965","Census Tract 701902","26","Census Tract 430721","6/1/2018 - 8/31/2018, Every day, Daily Average",3821,2669,5469
"1965","Census Tract 701902","39","Census Tract 554801","6/1/2018 - 8/31/2018, Every day, Daily Average",3328,2286,4843
"1965","Census Tract 701902","46","Census Tract 404000","6/1/2018 - 8/31/2018, Every day, Daily Average",3876,2635,5700
"1965","Census Tract 701902","47","Census Tract 404100","6/1/2018 - 8/31/2018, Every day, Daily Average",3869,2631,5688
"1965","Census Tract 701902","51","Census Tract 404302","6/1/2018 - 8/31/2018, Every day, Daily Average",3711,2542,5415
"1965","Census Tract 701902","52","Census Tract 404401","6/1/2018 - 8/31/2018, Every day, Daily Average",3676,2492,5421
"1965","Census Tract 701902","58","Census Tract 404701","6/1/2018 - 8/31/2018, Every day, Daily Average",2970,2054,4294
"1965","Census Tract 701902","59","Census Tract 404702","6/1/2018 - 8/31/2018, Every day, Daily Average",3117,2144,4531
"1965","Census Tract 701902","60","Census Tract 404703","6/1/2018 - 8/31/2018, Every day, Daily Average",2911,2039,4154
"1965","Census Tract 701902","62","Census Tract 404802","6/1/2018 - 8/31/2018, Every day, Daily Average",3182,2187,4629
"1965","Census Tract 701902","63","Census Tract 404803","6/1/2018 - 8/31/2018, Every day, Daily Average",3146,2153,4595
"1965","Census Tract 701902","76","Census Tract 407002","6/1/2018 - 8/31/2018, Every day, Daily Average",2589,1884,3557
"1965","Census Tract 701902","77","Census Tract 532304","6/1/2018 - 8/31/2018, Every day, Daily Average",2592,1754,3828
